"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213928",512.187721168106,3.27507531743083,0.19974747443974,16.3960787319935,2.03987248772583e-60,3.48491815803082e-56
"ENSG00000059378",336.458301796665,3.72099714418799,0.276732654065501,13.4461802375778,3.24191560543430e-41,2.76924431016198e-37
"ENSG00000157601",4008.96259771101,5.68040787674336,0.475308620229342,11.9509885471938,6.41575118465885e-33,3.65355644129039e-29
"ENSG00000108679",5768.8841282551,1.58820729622289,0.138176747495987,11.4940272151725,1.41364568331891e-30,6.03768071345505e-27
"ENSG00000115415",14617.158612877,3.57704283976823,0.333979738711162,10.7103588186881,9.10083845461283e-27,3.10957448317211e-23
"ENSG00000187608",3876.78300136491,4.74071973993298,0.450824815194355,10.5156583669628,7.3167978140291e-26,2.08333623091456e-22
"ENSG00000111331",1857.65334752399,6.11006611573341,0.587563937332166,10.398980821519,2.50599123362896e-25,6.1160506050453e-22
"ENSG00000111335",650.833031122029,6.52536369803438,0.629971117583637,10.3581950281523,3.84142470058421e-25,8.20336244809759e-22
"ENSG00000197536",162.019772281923,2.97324645299796,0.287831045927247,10.3298323619666,5.16507722213856e-25,9.80446436255724e-22
"ENSG00000185507",533.681421614342,2.23868510496121,0.219416768423679,10.2028897838768,1.92459225542116e-24,3.2879734091615e-21
"ENSG00000068079",178.754207468989,3.46046675614456,0.344705280965905,10.0389142471154,1.0279941211112e-23,1.59656832409671e-20
"ENSG00000089127",1073.49185706546,6.34085792843191,0.64026952403538,9.90341987303699,4.02278623980425e-23,5.40624784598965e-20
"ENSG00000132109",518.502125377378,2.00673142599076,0.202675957721959,9.90118141562546,4.11386221013027e-23,5.40624784598965e-20
"ENSG00000106785",344.213998278265,2.39315706974961,0.246535569293069,9.70714723482658,2.81094266741319e-22,3.4301531807205e-19
"ENSG00000185745",3507.07267683213,5.29338767304514,0.554209750494772,9.55123519266749,1.28159039269606e-21,1.4596460179213e-18
"ENSG00000102024",3222.41311758767,-0.914910268882045,0.0990297319840268,-9.23874325974766,2.49409289536817e-20,2.66306768902936e-17
"ENSG00000181381",650.441160595628,3.46287210274873,0.389850977317823,8.88255334531494,6.53428944703267e-19,6.56657652430037e-16
"ENSG00000115267",997.692710120115,4.49722595250986,0.512458746544838,8.77578143183545,1.6972117940843e-18,1.61084257167423e-15
"ENSG00000182179",262.162111166014,2.2699852715274,0.261251025740788,8.68890472330497,3.65950397330102e-18,3.29047188841446e-15
"ENSG00000110446",88.0133789497192,3.89296270984236,0.452022359034464,8.61232333320386,7.15945771681345e-18,6.01604364932232e-15
"ENSG00000130589",5253.25394493707,2.79514415392373,0.324691614204618,8.60861208494979,7.39504311845988e-18,6.01604364932232e-15
